matrix_size,threads_used,seconds,joules,mean_watts
3000,1,389,63359,163
3000,16,42,7475,177
3000,32,32,5935,185
3000,48,32,5875,182
3000,64,31,5715,186
3000,80,31,5948,193
3000,96,29,5411,188
3000,112,29,5457,189
3000,128,29,5536,190
3000,144,29,5478,189
3000,160,29,5558,190
3000,176,32,5840,183
3000,192,32,5794,182
3000,208,34,6078,177
3000,224,33,5839,178
3000,240,34,6063,176
3000,256,37,6450,172
3000,272,35,6096,176
4000,1,1037,167927,162
4000,16,106,18807,177
4000,32,68,12951,190
4000,48,70,13134,187
4000,64,68,12866,189
4000,80,65,12459,192
4000,96,62,11943,193
4000,112,61,11842,194
4000,128,60,11748,195
4000,144,62,11924,192
4000,160,59,11424,194
4000,176,68,12576,184
4000,192,74,12976,176
4000,208,66,12207,184
4000,224,74,12973,176
4000,240,70,12613,180
4000,256,68,12306,182
4000,272,74,13002,176
5000,1,2043,330863,162
5000,16,183,32828,179
5000,32,141,27212,193
5000,48,137,26063,190
5000,64,133,25243,190
5000,80,126,24447,193
5000,96,122,23745,195
5000,112,125,24142,194
5000,128,119,23418,197
5000,144,122,23883,196
5000,160,128,24105,188
5000,176,124,23676,191
5000,192,131,24248,185
5000,208,137,25164,183
5000,224,142,25564,181
5000,240,132,24316,184
5000,256,136,24719,182
5000,272,135,24589,182
6000,1,4905,795606,162
6000,16,391,70356,180
6000,32,279,54467,195
6000,48,255,49046,193
6000,64,222,42681,192
6000,80,208,40698,195
6000,96,225,43714,194
6000,112,229,45107,197
6000,128,232,45731,197
6000,144,216,42004,194
6000,160,230,44199,192
6000,176,201,39327,196
6000,192,223,43202,193
6000,208,217,42049,194
6000,224,217,42446,196
6000,240,210,40064,191
6000,256,208,40004,192
6000,272,219,42196,192
7000,1,12500,2027273,162
7000,16,947,169049,178
7000,32,504,97679,194
7000,48,445,85399,192
7000,64,402,77520,193
7000,80,369,71796,195
7000,96,352,69522,198
7000,112,351,69246,197
7000,128,345,68899,199
7000,144,350,69600,199
7000,160,353,69292,196
7000,176,353,70574,200
7000,192,346,69308,200
7000,208,357,71392,200
7000,224,351,70596,201
7000,240,334,67765,203
7000,256,332,67337,203
7000,272,332,67645,204
8000,1,27569,4477490,162
8000,16,1660,296233,178
8000,32,825,160445,194
8000,48,705,137078,195
8000,64,610,118090,194
8000,80,580,113652,196
8000,96,517,102755,199
8000,112,494,99046,200
8000,128,502,100374,200
8000,144,500,99045,198
8000,160,486,97335,200
8000,176,507,100684,199
8000,192,498,100948,203
8000,208,517,104642,202
8000,224,503,102798,204
8000,240,502,102590,204
8000,256,477,98442,206
8000,272,498,102694,206
9000,1,31106,5058300,163
9000,16,1966,353205,180
9000,32,1043,205823,197
9000,48,1107,216308,195
9000,64,984,191134,194
9000,80,917,179362,196
9000,96,826,163733,198
9000,112,767,152462,199
9000,128,743,148447,200
9000,144,723,144301,200
9000,160,731,145976,200
9000,176,728,145307,200
9000,192,726,145741,201
9000,208,734,147620,201
9000,224,743,148850,200
9000,240,750,151792,202
9000,256,749,152756,204
9000,272,750,155033,207
10000,1,76781,12440613,162
10000,16,4559,802692,176
10000,32,2293,439606,192
10000,48,1733,336239,194
10000,64,1510,294289,195
10000,80,1321,257739,195
10000,96,1195,237120,198
10000,112,1106,221643,200
10000,128,1057,212664,201
10000,144,1010,202396,200
10000,160,1023,204592,200
10000,176,1031,205392,199
10000,192,1035,206978,200
10000,208,1028,205222,200
10000,224,1026,204954,200
10000,240,1027,206703,201
10000,256,1035,209374,202
10000,272,1059,215283,203
